Words;Meanings;Words_trimmed;Meanings_trimmed;CN_Words_NLLB;CN_Meanings_NLLB
gevorderden;mensen die al een tijd bezig zijn met een studie of vaardigheid en dus enige;gevorderden;mensen die al een tijd bezig zijn met een studie of vaardigheid en dus enige;领先者;那些已经在学习或技能中工作过的,
gemeenschappelijk;met verschillende mensen dezelfde eigenschap of ruimte hebben;gemeenschappelijk;met verschillende mensen dezelfde eigenschap of ruimte hebben;共同;具有不同的人的特性或空间
raden;"to guess/erraten/deviner/tahmin etmek; raden-raadde-geraden";raden;to guess/erraten/deviner/tahmin etmek;推;为了猜测/猜测/猜测/推测
afvragen;"jezelf een vraag stellen; afvragen-vroeg af-afgevraagd";afvragen;jezelf een vraag stellen;问问;问自己一个问题
stelt … voor;"dat stelt niks voor = dat is helemaal niet belangrijk; voorstelde-stelde voor-";stelt … voor;"dat stelt niks voor = dat is helemaal niet belangrijk; voorstelde-stelde voor-";代表;没有什么意思.
piepklein;heel erg klein;piepklein;heel erg klein;子;非常小
bomvol;heel erg vol;bomvol;heel erg vol;充满;非常充满
carpoolen;met twee of meer mensen van één auto gebruikmaken om geld en het milieu te;carpoolen;met twee of meer mensen van één auto gebruikmaken om geld en het milieu te;子子;两人或多人使用同一辆车,
omelet (de);"een mengsel van gebakken eieren; omeletten";omelet;"een mengsel van gebakken eieren; omeletten";饼;"蛋混合物;蛋"
kebab;gebakken vlees van een soort grill;kebab;gebakken vlees van een soort grill;子;烤肉类型的烤肉
yoghurt;zuur zuivelproduct gemaakt van melk, wordt meestal gegeten na het avondeten;yoghurt;zuur zuivelproduct gemaakt van melk, wordt meestal gegeten na het avondeten;果;酸奶产品由牛奶制成,通常是在晚餐后吃的
chocola (de);bruin of wit snoep, gemaakt van cacao en suiker;chocola;bruin of wit snoep, gemaakt van cacao en suiker;巧克力;子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子
tof;goed, leuk, aardig;tof;goed, leuk, aardig;果;好,好,好,好
Hebreeuws;(het) Hebreeuws = de Hebreeuwse taal (wordt gesproken in Israël);Hebreeuws;Hebreeuws = de Hebreeuwse taal (wordt gesproken in Israël);希伯来语;希伯来语=希伯来语 (在以色列中说话)
paradijs (het);"een ideale, mooie en rustige plaats; de tuin waarin Adam en Eva woonden";paradijs;"een ideale, mooie en rustige plaats; de tuin waarin Adam en Eva woonden";的天堂;"理想,美丽,安静的地方;亚当和夏娃居住的花园"
schaken;een spel spelen met 16 witte en 16 zwarte figuren op een bord met witte en;schaken;een spel spelen met 16 witte en 16 zwarte figuren op een bord met witte en;棋牌;玩一个游戏,上面有16个白色和16个黑色的角色,
Perzisch;(het) Perzisch = de Perzische taal = het Farsi (wordt gesproken in Iran);Perzisch;Perzisch = de Perzische taal = het Farsi (wordt gesproken in Iran);波斯语;波斯语 = 波斯语 = 波斯语 (在伊朗使用)
Indonesisch;(het) Indonesisch = de Indonesische taal;Indonesisch;Indonesisch = de Indonesische taal;印尼语;印尼语 = 印尼语
sowieso;Duits: in elk geval;sowieso;Duits: in elk geval;无论如何;德国:至少
terechtgekomen;"(toevallig) op een bepaalde plaats komen; terechtkomen-kwam terecht-";terechtgekomen;"(toevallig) op een bepaalde plaats komen; terechtkomen-kwam terecht-";已经到达;偶然到一个地方,
uitgeleend;"voor een tijdje aan iemand in gebruik gegeven; uitlenen-leende uit-uitgeleend";uitgeleend;voor een tijdje aan iemand in gebruik gegeven;借贷;暂时使用
